title,published_at,duration,view_count,like_count,comment_count,year
Activating my THICK Pink Posca Mop’r Marker! #shorts,19-11-2022,PT57S,127092821,4353251,16944.00,2022
Shishira tho mamoluga unfashionable🫢😂🤣#shishira vlogs #shorts #comedy #sisira #funnyvideo #fun,20-11-2022,PT59S,17741287,0,627.00,2022
Girl Things #partnership #shorts #sparklewithshorts,21-11-2022,PT60S,27147854,1139252,962.00,2022
Makeup paithiyam💄| #niece #comedy #shorts | Wils Pat,26-11-2022,PT28S,44809596,1521279,1261.00,2022
शीला दीदी aur Rickshaw 🤣 | Kaamwali Bai - Part 44 | #shorts | Shorts Break,27-11-2022,PT52S,261810011,9599413,6251.00,2022
o LUVA no final 🤩 #Shorts,03-12-2022,PT46S,12494737,753590,2445.00,2022
o LUVA no final 🤩 #Shorts,03-12-2022,PT46S,12494737,753590,2445.00,2022
AQUELA CRIANÇA SENDO ARRUMADA - bárbara coura #shorts,03-12-2022,PT56S,12048999,657767,2013.00,2022
AQUELA CRIANÇA SENDO ARRUMADA - bárbara coura #shorts,03-12-2022,PT56S,12048999,657767,2013.00,2022
PELEAS DE HERMANOS,05-12-2022,PT49S,37735602,2943954,28490.00,2022
PELEAS DE HERMANOS,05-12-2022,PT49S,37735602,2943954,28490.00,2022
It was scary 😟💀☠️👻 #shorts #comedy #relationship,06-12-2022,PT49S,18956239,0,8095.00,2022
आजसे No Indian चीज़े 😁 | #shorts | Shorts Break,06-12-2022,PT51S,143988204,6099499,4901.00,2022
Is it Quismois or Christmas?! #shorts #bigfamily,06-12-2022,PT58S,7548268,264536,0.00,2022
Tom 🍓 Jerry (Rithvi&Kavi)🍒Mom love End Twist 😂🎈#shorts,06-12-2022,PT60S,95434373,1708964,0.00,2022
Toys 🧸 inside chips 🍟 pack 😋  | #shorts | Monika Prabhu,08-12-2022,PT46S,10109346,216396,0.00,2022
When you have next level mind 😎 #shorts #funny,08-12-2022,PT60S,27944367,1968543,1036.00,2022
Just A Normal Football/Soccer Game In Ohio💀 #shorts #funny #memes #football,10-12-2022,PT29S,29125218,1067133,6885.00,2022
Mummy Ko Khilayi 500 rs ki Chocolate| Mom and Daughter Part 9 #shorts #ferrerorocher #gupshupp,11-12-2022,PT55S,59783958,2016939,1488.00,2022
"Professional makeup artist,makeup tutorial,beauty artist #makeup #beauty #shorts #makeuptutorial",12-12-2022,PT57S,7140898,356674,2165.00,2022
Singapore का खाना 💀! 🤣🤣 | Maa Beta #Shorts | Shorts Break,13-12-2022,PT42S,25377946,949240,1742.00,2022
